title,authors,year,keywords,document_type,source,source_file,doi,journal,document_type_enhanced,repository
"Optimization of urban service facility allocation for the SDGs: current status, innovations, and prospects",Shaohua Wang and Jingyi Zhou and Haojian Liang and Liang Zhou and Zhenbo Wang and Siyu Zhao and Hao Wang,2026,"Urban service facility allocation, Spatial optimization, Sustainable Development Goals (SDGs), Optimization paradigms, GeoAI",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.scs.2026.107291,Sustainable Cities and Society,Review,
Reinforcement learning for ridesharing: An extended survey,Zhiwei (Tony) Qin and Hongtu Zhu and Jieping Ye,2022,"Ridesharing, Ride-pooling, Reinforcement learning, Multi-agent systems, Decision intelligence",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.trc.2022.103852,Transportation Research Part C: Emerging Technologies,Review,
A holistic review on how artificial intelligence has redefined water treatment and seawater desalination processes,Saikat Sinha Ray and Rohit Kumar Verma and Ashutosh Singh and Mahesh Ganesapillai and Young-Nam Kwon,2023,"Artificial intelligence (AI), Machine learning (ML), Artificial neural networks (ANNs), Desalination, Water treatment",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.desal.2022.116221,Desalination,Review,
Integrating artificial intelligence and analytics in smart grids: a systematic literature review,Farhad Khosrojerdi and Okhaide Akhigbe and Stéphane Gagnon and Alex Ramirez and Gregory Richards,2021,"Project management, Surveys, Energy sector, Artificial intelligence, Data analytics, Smart grid",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1108/IJESM-06-2020-0011,International Journal of Energy Sector Management,Review,
Retrospective and reconsideration: The first 25 years of the Steinitz framework for landscape architecture education and environmental design,Leah M. Hollstein,2019,"Landscape architecture, Design education, Steinitz framework, Geodesign, Decision-making, Environmental design disciplines",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.landurbplan.2019.02.020,Landscape and Urban Planning,Review,
Integration of technology in decision-making in university facilities management: a literature review,Abubakar Sadiq Mohammed and Christopher Amoah,2025,"Technology, Decision-Making, Universities, Facilities, Management, Africa",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1108/F-09-2024-0134,Facilities,Review,
District heating and cooling networks with decentralised energy substations: Opportunities and barriers for holistic energy system decarbonisation,O. Angelidis and A. Ioannou and D. Friedrich and A. Thomson and G. Falcone,2023,"5 Generation District Heating and Cooling, 4th Generation District Heating and Cooling, Holistic energy systems, Sector coupling, Smart energy systems, Heat decarbonisation",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.energy.2023.126740,Energy,Review,
“Weibing” in traditional Chinese medicine—biological basis and mathematical representation of disease-susceptible state,Wanyang Sun and Rong Wang and Shuhua Ouyang and Wanli Liang and Junwei Duan and Wenyong Gong and Lianting Hu and Xiujuan Chen and Yifang Li and Hiroshi Kurihara and Xinsheng Yao and Hao Gao and Rongrong He,2025,"Weibing, Disease-susceptible state, Traditional Chinese medicine, Preventive medicine, Mathematical modeling",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.apsb.2025.03.009,Acta Pharmaceutica Sinica B,Review,
"Artificial intelligence–driven evolution and system integration for geological carbon capture, utilization, and storage",Jianhua Ma and Yongzhang Zhou and Luhao He and Xian Liu and Yijun Zheng and Yang Hong,2026,"Artificial intelligence (AI), Carbon capture, Utilization, And storage (CCUS), Geological CO storage, Reservoir modeling, CO plume migration, Deep learning",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.marger.2026.207686,Marine Geoscience and Energy Resources,Review,
Trends in marine pollution mitigation technologies: Scientometric analysis of published literature (1990-2022),Damsara Anthony and Hasitha Siriwardana and Sanduni Ashvini and Shiran Pallewatta and Sameera Maduranga Samarasekara and Sampath Edirisinghe and Meththika Vithanage,2023,"SCOPUS, Keyword networks, Artificial intelligence and machine learning, Marine pollution, Bibliometric analysis",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.rsma.2023.103156,Regional Studies in Marine Science,Review,
"An in-depth analysis of UAV path planning, including procedures, algorithms, optimization models, and emerging challenges",Muhammad Nafees and Tamkeen Syeda and Amjad Ali and Hira Farman and Muhammad Tayyab,2026,"Multi-UAV coordination, Optimization algorithms, UAV path planning, Problem models, Unmanned aerial vehicles (UAVs)",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.mex.2026.103826,MethodsX,Review,
M2OSS: A systematic research perspective on robotic machining errors,Teng Zhang and Zhao Yang and Fangyu Peng and Xiaowei Tang and Lihao Xiao and Rong Yan and Haoyu Huang,2026,"Robotic machining, Errors, Modeling and measurement, Optimization, Speculation, Supervision",Review,ScienceDirect,lexical-DI-review-ScienceDirect_citations_1778991307123.bib,https://doi.org/10.1016/j.rcim.2026.103298,Robotics and Computer-Integrated Manufacturing,Review,
Unveiling customer engagement dynamics in the metaverse: A retrospective bibliometric and topic modelling investigation,Mohammad Wasiq and Abu Bashar and Irfanullah Khan and Brighton Nyagadza,2024,"Customer engagement, Metaverse, Bibliometric, Topic modelling, LDA analysis, VOSviewer, Biblioshiny",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.chbr.2024.100483,Computers in Human Behavior Reports,Article,
Cloud-based Decision Support and Automation for Precision Agriculture in Orchards,Li Tan,2016,"cloud computing, decision support, automation, precision agriculture, software-defined control",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.ifacol.2016.10.061,IFAC-PapersOnLine,Article,
Examining new measure of asnaf muslimpreneur success model: a Maqasid perspective,Hanudin Amin,2022,"Maqasid al-Shariah, Mustahiq, Zakat, Malaysia",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1108/JIABR-04-2021-0116,Journal of Islamic Accounting and Business Research,Article,
The role of e-government in sustainable public procurement in developing countries: A systematic literature review,Peter Adjei-Bamfo and Theophilus Maloreh-Nyamekye and Albert Ahenkan,2019,"e-Government, Public sector e-procurement, Sustainable public procurement, Sustainable development, Developing countries, Systematic literature review",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.resconrec.2018.12.001,"Resources, Conservation and Recycling",Article,
Long-term comparative effectiveness of carotid stenting versus carotid endarterectomy in a large tertiary care vascular surgery practice,Robert P. Garvin and Evan J. Ryer and Andrea L. Berger and James R. Elmore,2018,,Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jvs.2017.12.067,Journal of Vascular Surgery,Article,
"An outline of Prognostics and health management Large Model: Concepts, Paradigms, and challenges",Laifa Tao and Shangyu Li and Haifei Liu and Qixuan Huang and Liang Ma and Guoao Ning and Yiling Chen and Yunlong Wu and Bin Li and Weiwei Zhang and Zhengduo Zhao and Wenchao Zhan and Wenyan Cao and Chao Wang and Hongmei Liu and Jian Ma and Mingliang Suo and Yujie Cheng and Yu Ding and Dengwei Song and Chen Lu,2025,"Large model (LM), Large language model (LLM), Prognosis and health management (PHM), Fault diagnosis, Prediction, State assessment",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.ymssp.2025.112683,Mechanical Systems and Signal Processing,Article,
Interactive Data–Knowledge Synergy via Guidance and Feedback for Railway Risk Decision-Making,Xinyi Liu and Wenxin Mu and Tianyuan Zhang and Jiayao Li and Juanqiong Gou,2026,"Railway risk, Knowledge base, Algorithmic deconstruction, Data–knowledge synergy, Decision support",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.ress.2026.112608,Reliability Engineering & System Safety,Article,
Adaptive security Models: Leveraging RSA and intuitionistic fuzzy logic for robust cryptography,A. Meenakshi and J. John and Leo Mršić and Antonios Kalampakas and Sovan Samanta and Tofigh Allahviranloo,2026,,Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.asej.2026.104107,Ain Shams Engineering Journal,Article,
Flocking collision avoidance for multi-UAVs in restricted scenarios: An event-triggered MAPPO strategy based on task-hierarchical curriculum,Chengqing Liang and Lei Liu and Xiaodi Li and Dongmei Yan and Lei Li,2026,"Multi-UAVs, Reinforcement learning, Collision avoidance control, Event-triggered mechanism, Curriculum learning",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.eswa.2025.130842,Expert Systems with Applications,Article,
MOP-LSTM: A multi-objective planning method integrating LSTM for marketing strategy decision-making,Zhong Wu and Jin Shen,2026,"LSTM, Multi-objective planning, Particle swarm optimization algorithm, Marketing strategy decision",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.aej.2026.03.033,Alexandria Engineering Journal,Article,
Supplier’s response to institutional pressure in uncertain environment: Implications for cleaner production,Mohit Srivastava and  {Gopalakrishnan Narayanamurthy,2021,"Institutional pressure, Cleaner production, Environmental uncertainty, Supplier response, Automotive industry, India",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jclepro.2020.124954,Journal of Cleaner Production,Article,
Review of interference indices in body fluid specimens submitted for clinical chemistry analyses,Renee L. Eigsti and Matthew D. Krasowski and Aditi Vidholia and Anna E. Merrill,2020,"Body fluid analysis, Clinical chemistry, Interference, Hemolysis, Icterus, Lipemia",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.plabm.2020.e00155,Practical Laboratory Medicine,Article,
AniFaceDiff: Animating stylized avatars via parametric conditioned diffusion models,Ken Chen and Sachith Seneviratne and Wei Wang and Dongting Hu and Sanjay Saha and Md. Tarek Hasan and Sanka Rasnayaka and Tamasha Malepathirana and Mingming Gong and Saman Halgamuge,2026,"Animating stylized avatars, Image generation, Diffusion models, Face manipulation detection",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.patcog.2025.112017,Pattern Recognition,Article,
Intelligent pulsed ultraviolet c radiation sterilization system: A cleaner solution of raw ready-to-eat aquatic products processing,You Li and Luwei Zhang and Yanfu He and Xiaoshuan Zhang and Xingxing Liu,2023,"Raw ready-to-eat aquatic products processing, Pulsed UVC light, View factor method, Intelligent sterilization, Decision modelling",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jclepro.2023.139281,Journal of Cleaner Production,Article,
Adaptive supplier selection framework for sustainable and resilient additive manufacturing supply chains,Shubhendu Singh and Subhas Chandra Misra and Gaurvendra Singh,2025,"Supplier selection, Resilience, Sustainability, Additive manufacturing technology (AMT), Grey relational analysis (GRA)",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jii.2025.100882,Journal of Industrial Information Integration,Article,
A robust optimization approach for generating emergency plans with dynamic evolution under uncertainty,Zi-Xin Zhang and Liang Wang and Bapi Dutta and Rosa M. Rodriguez and Ying-Ming Wang and Luis Martinez,2026,"Emergency plan generation, Robust optimization, Dynamic evolution",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.cie.2025.111684,Computers & Industrial Engineering,Article,
A model of customer relationship management and business intelligence systems for catalogue and online retailers,Dien D. Phan and Douglas R. Vogel,2010,"E-commerce, Customer relationship management, Business intelligence, Data mining, Catalogue retailer, Online retailer",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.im.2009.09.001,Information & Management,Article,
Patient clustering using dynamic partitioning on correlated and uncertain biomedical data,Abdur Rahim Mohammad Forkan and Ibrahim Khalil and Heshan Kumarage,2020,"Vital sign, Patient clustering, Correlations, Uncertainty, Healthcare",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.cmpb.2020.105483,Computer Methods and Programs in Biomedicine,Article,
Hierarchical reinforcement learning with curriculum demonstrations and goal-guided policies for sequential robotic manipulation,Zihao Sun and Bao Pang and Xianfeng Yuan and Xiaolong Xu and Yong Song and Rui Song and Yibin Li,2025,"Curriculum demonstrations, Goal-guided policies, Hierarchical reinforcement learning, Robotic manipulation",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.engappai.2025.110866,Engineering Applications of Artificial Intelligence,Article,
Stakeholder participation within the public environmental system in Chile: Major gaps between theory and practice,Carla Lostarnau and Jorge Oyarzún and Hugo Maturana and Guido Soto and Michelle Señoret and Manuel Soto and Tobias S. Rötting and Jaime M. Amezaga and Ricardo Oyarzún,2011,"Public involvement, Impact assessment, Elqui basin, Sustainable development, 19300 Law",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jenvman.2011.05.008,Journal of Environmental Management,Article,
AI Empowers Supply Chain Intelligence: A Three-Chain Four-Intelligence Framework,Zuo-Jun Max Shen and Shaochong Lin,2026,"Artificial intelligence, Supply chain intelligence, Machine learning, Intelligent decision-making, Generative AI",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.eng.2026.01.013,Engineering,Article,
"Does high frequency trading affect technical analysis and market efficiency? And if so, how?",Viktor Manahov and Robert Hudson and Bartosz Gebka,2014,"Technical trading rules, Genetic Programming, Exchange rate",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.intfin.2013.11.002,"Journal of International Financial Markets, Institutions and Money",Article,
Optimized trust-aware routing in clustered ad hoc networks,Ujwala Nilesh Ravale and Gautam M. Borkar,2026,"WANET, Malicious node, Trust parameters, Fuzzy inference system, K-Means, GPSR",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.compeleceng.2026.111146,Computers and Electrical Engineering,Article,
Safe reinforcement learning energy management for hybrid electric vehicles: A supervisory action assessment and correction approach,Fei Li and Mingjie Li and Yue Wu and Heng Li and Yundong Song and Zhiwu Huang,2026,"Deep reinforcement learning, Energy management strategy, Hybrid electric vehicle, Safe exploration, Action correction",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jclepro.2026.147720,Journal of Cleaner Production,Article,
Toward human-centric coal mine auxiliary operations in Industry 5.0: An XR-based approach for human-robot hybrid decision-making,Shuguang Liu and Jiacheng Xie and Xuewen Wang and Lang Qin,2026,"Human-robot hybrid decision-making, Coal mine auxiliary operations, Extended reality, LLMs, Human-centric, Industry 5.0",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.aei.2025.103965,Advanced Engineering Informatics,Article,
Ensuring reliable network operations and maintenance: The role of PMRF for switch maintenance and upgrades in SDN,Nauman Khan and Rosli {bin Salleh,2023,"Faulty switch handling, Time base routing, Artificial Intelligence (AI), Preventive maintenance, SDN, Traditional networking, Operation and maintenance switch failure, Network reliability and availability, Network management",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jksuci.2023.101809,Journal of King Saud University - Computer and Information Sciences,Article,
Digital Twin-Enabled Neural Bandit Learning for Two-Hop UAV Relay Selection over Delay–Doppler Channels,Ehab Mahmoud Mohamed,2026,"Unmanned Aerial Vehicle, Digital Twin, Multi-Armed Bandit, and Delay Doppler",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.dsp.2026.106256,Digital Signal Processing,Article,
"Organizational knowledgeable responses to institutional pressures – a review, synthesis and extension",Roger Moser and Jens Winkler and Gopalakrishnan Narayanamurthy and Vijay Pereira,2020,"Literature review, Institutional theory, Institutional pressures, Organization knowledgeable responses, Paradox of embedded agency",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1108/JKM-05-2020-0349,Journal of Knowledge Management,Article,
Finding your feet in constrained markets: How bottom of pyramid social enterprises adjust to scale-up-technology-enabled healthcare delivery,Atanu Chaudhuri and Thim Prætorius and Gopalakrishnan Narayanamurthy and Peter Hasle and Vijay Pereira,2021,"Bottom of pyramid, Scaling-up, Social impact, Healthcare, Entrepreneurial adjustment",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.techfore.2021.121184,Technological Forecasting and Social Change,Article,
"Research of artificial intelligence operations for wind turbines considering anomaly detection, root cause analysis, and incremental training",Chen Zhang and Di Hu and Tao Yang,2024,"Wind turbine, AIOps, Anomaly detection, Root cause analysis, Incremental training",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.ress.2023.109634,Reliability Engineering & System Safety,Article,
Circular water–energy integration in off-grid viticulture: An Ecocanvas approach to resource efficiency,Alexy Apolo-Romero and Nieves García-Casarejos and Pilar Gargallo,2026,"Circular economy, Business model innovation, Water–energy nexus, Water reuse, Smart renewable energy system, Viticulture",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.scitotenv.2025.181057,Science of The Total Environment,Article,
"A digital twin to train deep reinforcement learning agent for smart manufacturing plants: Environment, interfaces and intelligence",Kaishu Xia and Christopher Sacco and Max Kirkpatrick and Clint Saidy and Lam Nguyen and Anil Kircaliali and Ramy Harik,2021,"Smart manufacturing systems, Robotics, Artificial intelligence, Digital transformation, Virtual commissioning",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jmsy.2020.06.012,Journal of Manufacturing Systems,Article,
Task planning for multi-USV in complex environments: a modular hierarchical architecture method,Haitao Liu and Youwei Tong and Xuehong Tian and Qingqun Mai and Xingchen Li,2026,"Multiple unmanned surface vehicles, Task planning, Ant colony optimization algorithm, Soft actor-critic algorithm",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.oceaneng.2026.125462,Ocean Engineering,Article,
A fast strategy-solving method for adversarial team games utilizing warm starting,Botao Liu and Chen Qiu and Weixin Huang and Jiajia Zhang and Xuan Wang,2024,"Game theory, Seed strategy, Adversarial team games, Reinforcement learning",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.neucom.2024.128509,Neurocomputing,Article,
A label noise filtering method for regression based on adaptive threshold and noise score,Chuang Li and Zhizhong Mao,2023,"Noise filter, Real-valued label noise, Adaptive noise determination, Noise score, Ensemble filtering, Iterative filtering",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.eswa.2023.120422,Expert Systems with Applications,Article,
Smart control of heavy metal adsorption onto LDC wastes for Industry 4.0 applications,Mohammad Gheibi and Seyyed Roohollah Masoomi and Mohammad Eftekhari and Martin Palušák and Daniele Silvestri and Miroslav Černík and Stanisław Wacławek,2026,"Expert system, Water treatment, Heavy metals, Response surface methodology, Machine learning",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.dche.2025.100286,Digital Chemical Engineering,Article,
Adolescents’ beliefs about caste-essentialism and their social location in Nepal,Manishi Srivastava and Jeanine Grütter and Pramod Bhatta,2025,"Caste essentialist beliefs, Perceived social mobility, Social location, Adolescence",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.cogdev.2025.101616,Cognitive Development,Article,
"Accounting Students’ Technology Readiness, Perceptions, and Digital Competence Toward Artificial Intelligence Adoption in Accounting Curricula",Ahmad Mohamad Abdo-Salloum and Hasan Yousef Al-Mousawi,2025,"Artificial intelligence, Accounting education, Technology readiness, Perceived ease of use, Perceived usefulness, Artificial intelligence adoption, Digital literacy, Information literacy",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jaccedu.2025.100951,Journal of Accounting Education,Article,
Using benchmarks to study an intelligent and multicriteria scheduling service,M. Hachicha and Y. Dubromelle and K. Fergani and F. Ounnar and P. Pujo,2013,"Multicriteria Scheduling, Multicriteria Decision Making, Intelligent Control, PROSIS, Performance",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.3182/20130522-3-BR-4036.00058,IFAC Proceedings Volumes,Article,
The mediating role of supply chain resilience in the relationship between AI capabilities and sustainability performance: evidence from manufacturing SMEs,Chamaipon Ratanacharoenchai and Konpapha Jantapoon,2026,"Artificial intelligence, Supply chain resilience, Sustainability performance, Dynamic capabilities, Manufacturing SMES",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.sftr.2026.101677,Sustainable Futures,Article,
Co-evolutionary multi-objective optimization enhanced by reinforcement learning decision support in distributed group scheduling,Zhen Li and Yuting Wang and Yuyan Han and Leilei Meng and Kaizhou Gao and Qingda Chen,2026,"Group scheduling, Distributed flow shop, Multi-objective optimization, Reinforcement learning, Co-evolutionary algorithm",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.eswa.2025.129953,Expert Systems with Applications,Article,
A dimensionality reduction method for large-scale group decision-making using TF-IDF feature similarity and information loss entropy,Qifeng Wan and Xuanhua Xu and Jing Han,2024,"Dimensionality reduction method, TF-IDF, Information loss entropy, Natural language, Large-scale group decision-making",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.asoc.2023.111039,Applied Soft Computing,Article,
Intelligence by design: Large language model work integration as strategic enablers for supply chain regeneration through digital and cognitive capabilities,Weiming Liu and Varun Chotia and Lu Wang and Prashant Sharma and Norah Albishri and Snigdha Dash,2026,"Large language models, Cognitive automation, Algorithmic affordance, Digital transformation, AI governance, Supply chain regeneration",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.techfore.2025.124497,Technological Forecasting and Social Change,Article,
A hybrid AWQMIX-MGT algorithm integrating deep reinforcement learning and collaborative optimization strategies for ship equipment and pipe layout design,Hongshuo Zhang and Yanyun Yu and Qiang Li and Dechen Liu and Qi Men and Xiang Liu and Yan Lin,2026,"Ship equipment layout design, Ship pipe layout design, Collaborative optimization strategy, Multi-agent deep reinforcement learning, Intelligent optimization algorithm, Automation design",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.oceaneng.2025.124108,Ocean Engineering,Article,
CODE-V: Multi-hop computation offloading in Vehicular Fog Computing,Md. Muzakkir Hussain and M.M. Sufyan Beg,2021,"Intelligent Transportation Systems, Vehicular Fog Computing, Multi-objective optimization, Differential evolution",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.future.2020.09.039,Future Generation Computer Systems,Article,
Business intelligence as a key strategy for development organizations,Fereydoon Azma and Mohammad Ali Mostafapour,2012,"Business intelligence, organization, strategy,development organizations",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.protcy.2012.02.020,Procedia Technology,Article,
Real-time ANN-based multi-indicator voltage stability assessment for mesh distribution systems with high SPV-EV penetration,Kavya Suresh and Kanakasabapathy P and Sanjib Kumar Panda,2026,"Mesh distribution networks, Artificial neural network, Voltage stability index, Load availability margin, Generation acceptability margin, Electric vehicles, Solar PV",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.rineng.2026.110152,Results in Engineering,Article,
Toward Cognition-Decision Bimodal Synergy Driven Generative Design for Complex Products: A Reinforcement Learning Intelligent Paradigm,Yiwei Hua and Ru Wang and Yu Huang and Haokun Li and Guoxin Wang and Yan Yan,2026,"Human intelligent manufacturing, Cognition and decision, Complex products, Generative design, Reinforcement learning",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.cjme.2026.100265,Chinese Journal of Mechanical Engineering,Article,
Data-driven business process management-based development of Industry 4.0 solutions,Tímea Czvetkó and Alex Kummer and Tamás Ruppert and János Abonyi,2022,"Business process management (BPM), Business process redesign (BPR), Industry 4.0 (I4.0), Digital technology, Discrete event simulation",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.cirpj.2021.12.002,CIRP Journal of Manufacturing Science and Technology,Article,
Impact of Daylight Saving Time on the Clinical Laboratory,Alexandra Ehlers and Richard L. Dyson and Christina K. Hodgson and Scott R. Davis and Matthew D. Krasowski,2018,"clinical chemistry tests, clinical laboratory information system, electronic health record, hematology, software, transfusion medicine",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1177/2374289518784222,Academic Pathology,Article,
Estimating continuous treatment effect with disentangled covariates representations,Ruijing Cui and Jianbin Sun and Bingyu He and Kewei Yang and Bingfeng Ge,2026,"Disentangled representations, Variational auto-encoder (VAE), Treatment effects estimation, Counterfactual inference, Average dose-response function (ADRF)",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.neucom.2026.132820,Neurocomputing,Article,
Deterministic and probabilistic service-hailing mode choice for on-demand service platforms,Li Wang and Jiahang Yuan and Li Hu and Shaofu Du,2024,"On-demand service platform, Deterministic service, Probabilistic service, Service mode selection",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.ijpe.2024.109156,International Journal of Production Economics,Article,
Teaching the underlying rules of figural matrices in a short video increases test scores,Benedikt Schneider and Nicolas Becker and Florian Krieger and Frank M. Spinath and Jörn R. Sparfeldt,2020,"Intelligence, Figural matrices, Practice, Coaching, Online tutorial, Video",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.intell.2020.101473,Intelligence,Article,
Critical success factors in Chinese cross-border mergers and acquisitions,Yu Chen and Herbert Werle and Roger Moser,2018,"Case study, Critical success factor, Chinese companies, Cross-border merger and acquisition",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1108/NBRI-03-2017-0012,Nankai Business Review International,Article,
Data strategies for global value chains: Hybridization of small and big data in the aftermath of COVID-19,Srinath Rengarajan and Gopalakrishnan Narayanamurthy and Roger Moser and Vijay Pereira,2022,"Global value chain, Small data analytics, Big data analytics, Decision making, Uncertainty, Agri-food",Article,ScienceDirect,lexical-DI-article-2-ScienceDirect_citations_1778991249302.bib,https://doi.org/10.1016/j.jbusres.2022.02.042,Journal of Business Research,Article,
